Time;Pos_x;Pos_y;Pos_z;Vel_x;Vel_y;Vel_z;Vel_norm;Acc_x;Acc_y;Acc_z;Acc_norm;Thrust;Omg_x;Omg_y;Omg_z;Omg_norm;Alpha;Quat_w;Quat_x;Quat_y;Quat_z;Yaw;Pitch;Roll
1.32;3.73731;1.01379;1.38024;-1.68375;1.18872;-0.0422335;2.06152;-2.14304;-0.951566;0.423324;2.38271;10.4744;0.890085;-0.168265;-0.237432;0.93645;80.9112;0.306248;-0.114066;-0.0651615;0.942684;144.999;-11.1116;10.2857
1.34;3.70321;1.03737;1.37948;-1.72655;1.16877;-0.0336427;2.08522;-2.13626;-1.0433;0.435623;2.417;10.4931;0.898812;-0.165226;-0.242892;0.9456;80.6993;0.297438;-0.11372;-0.0684306;0.945311;146.08;-11.3632;10.2443
1.36;3.66825;1.06053;1.37889;-1.76919;1.14699;-0.024814;2.10861;-2.12709;-1.13438;0.447105;2.45178;10.5112;0.907119;-0.162344;-0.248276;0.954391;80.4801;0.288514;-0.113357;-0.0716631;0.947878;147.173;-11.6111;10.2089
1.38;3.63244;1.08324;1.37849;-1.81162;1.1234;-0.0157642;2.13172;-2.11548;-1.22467;0.457729;2.48688;10.5287;0.914985;-0.159622;-0.253577;0.962797;80.2539;0.279481;-0.112977;-0.0748558;0.95038;148.276;-11.855;10.1797
1.4;3.59579;1.10545;1.37826;-1.85379;1.09801;-0.00651085;2.15458;-2.10136;-1.31404;0.46745;2.52209;10.5455;0.922387;-0.157057;-0.25879;0.970791;80.0213;0.270341;-0.112579;-0.0780057;0.952814;149.39;-12.0943;10.1565
1.42;3.55829;1.12715;1.37823;-1.89566;1.07085;0.00292749;2.17721;-2.0847;-1.40235;0.476224;2.55721;10.5614;0.929305;-0.154646;-0.26391;0.978352;79.7827;0.2611;-0.112161;-0.08111;0.955178;150.513;-12.3288;10.1392
1.44;3.51996;1.14828;1.37838;-1.93716;1.04193;0.0125315;2.19963;-2.06542;-1.48949;0.484007;2.59207;10.5765;0.935723;-0.152386;-0.268934;0.985456;79.5389;0.251762;-0.111723;-0.0841659;0.95747;151.645;-12.5582;10.1275
1.46;3.48081;1.16881;1.37873;-1.97825;1.01127;0.0222809;2.22186;-2.04349;-1.57531;0.490756;2.62646;10.5906;0.941625;-0.150267;-0.273857;0.992086;79.2906;0.242331;-0.111262;-0.0871711;0.959685;152.786;-12.7819;10.1211
1.48;3.44084;1.18872;1.37927;-2.01888;0.978922;0.0321546;2.24393;-2.01885;-1.65968;0.496428;2.66021;10.6036;0.946997;-0.148282;-0.278677;0.998225;79.0385;0.232812;-0.110777;-0.090123;0.961823;153.935;-12.9998;10.1198
1.5;3.40006;1.20796;1.38002;-2.05899;0.944898;0.0421305;2.26584;-1.99144;-1.74248;0.500978;2.69315;10.6154;0.95183;-0.14642;-0.28339;1.00386;78.7836;0.22321;-0.110265;-0.0930196;0.96388;155.091;-13.2115;10.123
